,months,multiple,gb_mon,security,backup,protection,support,unlimited,contract,paperless,monthly,satisfaction,churn_value,payment_Credit Card,payment_Mailed Check,internet_type_DSL,internet_type_Fiber Optic,internet_type_None,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E
49,0.0,0,0.2117647058823529,0,0,0,0,1,0.0,1,0.6029850746268656,0.5,1,0,0,0,1,0,0,0,0,0,0
50,0.75,1,0.0823529411764705,0,0,1,0,0,0.5,1,0.8134328358208955,0.5,1,0,0,0,1,0,0,0,0,0,0
51,0.25,0,0.2823529411764706,0,1,0,0,1,0.0,1,0.5512437810945274,0.0,1,0,0,0,1,0,0,0,0,0,0
52,0.0,1,0.1764705882352941,0,0,1,0,1,0.0,1,0.818407960199005,0.0,1,0,0,0,1,0,0,0,0,0,0
53,0.0,0,0.2823529411764706,0,1,0,0,0,0.0,1,0.5432835820895522,0.0,1,0,0,0,1,0,0,0,0,0,0
54,0.0,1,0.0705882352941176,0,0,0,0,1,0.0,1,0.5502487562189055,0.25,1,0,0,0,1,0,0,0,0,0,0
55,0.0,1,0.1294117647058823,0,1,0,0,1,0.0,1,0.6084577114427862,0.0,1,0,0,0,1,0,0,0,0,0,0
56,0.0,1,0.2,0,0,0,0,1,0.0,1,0.6601990049751243,0.0,1,0,0,0,0,0,0,0,0,0,0
57,0.5,1,0.2235294117647058,0,0,1,0,0,0.0,1,0.8039800995024875,0.0,1,0,0,0,1,0,0,0,0,0,0
58,0.0,0,0.1294117647058823,0,0,0,0,1,0.0,0,0.2656716417910448,0.25,1,1,0,1,0,0,0,0,0,0,1
59,0.0,0,0.3176470588235294,1,0,0,1,1,0.0,0,0.8164179104477611,0.0,1,1,0,0,1,0,0,0,0,0,0
60,0.75,0,0.3294117647058823,0,1,0,0,1,0.0,1,0.1203980099502487,0.0,1,0,0,0,0,0,0,0,0,0,0
61,1.0,1,0.188235294117647,0,1,1,0,1,0.5,1,0.8507462686567163,0.0,1,0,0,0,1,0,0,0,0,0,0
62,0.5,1,0.1764705882352941,0,1,0,0,1,0.0,1,0.6203980099502486,0.25,1,0,0,0,0,0,0,0,0,0,0
63,0.0,1,0.2705882352941176,0,0,0,0,1,0.0,1,0.7567164179104477,0.25,1,0,0,0,1,0,0,0,0,0,1
64,0.25,1,0.2705882352941176,0,0,0,0,1,0.0,1,0.5696517412935324,0.0,1,0,0,0,1,0,0,0,0,0,0
65,0.0,1,0.3411764705882353,0,0,1,0,1,0.0,1,0.8194029850746268,0.0,1,0,0,0,1,0,0,0,0,0,1
66,0.0,0,0.0235294117647058,1,0,0,1,1,0.0,1,0.6970149253731343,0.0,1,0,1,0,1,0,0,0,0,0,1
67,0.0,0,0.1058823529411764,0,0,1,0,1,0.0,1,0.7348258706467661,0.0,1,0,0,0,1,0,0,0,0,0,1
68,0.0,0,0.2823529411764706,0,0,0,0,1,0.0,0,0.718407960199005,0.5,1,1,0,0,1,0,0,0,0,0,0
69,0.0,0,0.1176470588235294,0,0,1,1,1,0.0,1,0.2527363184079602,0.0,1,0,0,1,0,0,0,0,0,0,0
70,0.0,0,0.2470588235294117,0,0,1,0,1,0.0,1,0.5577114427860697,0.0,1,0,0,0,1,0,0,0,0,0,0
71,0.0,0,0.3176470588235294,0,0,0,0,1,0.0,0,0.7109452736318408,0.25,1,0,0,0,1,0,0,0,0,0,0
72,0.25,1,0.188235294117647,0,0,1,0,1,0.0,1,0.817910447761194,0.5,1,1,0,0,0,0,0,0,0,0,0
73,0.5,1,0.3058823529411765,0,1,1,0,1,0.0,1,0.8696517412935324,0.5,1,0,0,0,1,0,0,0,0,0,0
74,0.0,1,0.3176470588235294,0,0,1,1,1,0.0,1,0.8537313432835821,0.5,1,0,0,0,1,0,0,0,0,0,0
75,0.0,0,0.1058823529411764,0,0,0,0,1,0.0,1,0.618407960199005,0.25,1,0,0,0,1,0,0,0,0,0,1
76,0.25,0,0.1647058823529411,0,0,1,0,1,0.0,1,0.4159203980099502,0.0,1,0,0,1,0,0,0,0,0,0,0
77,0.25,1,0.188235294117647,0,0,0,0,1,0.0,1,0.7751243781094528,0.25,1,0,0,0,1,0,0,0,0,0,0
78,0.75,0,0.3529411764705882,0,1,0,0,1,0.5,0,0.7661691542288557,0.25,1,1,0,0,1,0,0,0,0,0,0
79,1.0,1,0.2823529411764706,0,1,0,0,1,0.0,1,0.7099502487562188,0.0,1,0,0,0,1,0,1,0,0,0,0
80,0.0,0,0.3176470588235294,0,0,0,0,1,0.0,1,0.708955223880597,0.25,1,0,0,0,1,0,0,0,0,0,1
81,0.0,1,0.2588235294117647,0,0,0,0,1,0.0,1,0.6701492537313432,0.0,1,0,0,0,0,0,0,0,0,0,0
82,0.25,1,0.2588235294117647,0,0,0,0,1,0.0,1,0.6800995024875621,0.5,1,0,0,0,1,0,0,0,0,0,0
83,0.0,0,0.2117647058823529,0,0,0,0,1,0.0,1,0.5074626865671642,0.25,1,0,0,0,0,0,0,0,0,0,1
84,0.0,0,0.0588235294117647,0,0,0,0,1,0.0,1,0.0691542288557213,0.0,1,0,0,0,0,0,0,0,0,0,0
85,0.0,1,0.2823529411764706,0,0,0,0,1,0.0,1,0.7641791044776118,0.0,1,0,0,0,1,0,0,0,0,0,0
86,0.0,0,0.2823529411764706,0,0,0,0,1,0.0,1,0.6064676616915423,0.5,1,0,0,0,1,0,0,0,0,0,0
87,0.5,1,0.0470588235294117,0,1,1,0,1,0.0,1,0.7562189054726368,0.0,1,0,0,0,1,0,0,0,0,0,0
88,0.0,0,0.1176470588235294,0,1,1,0,1,0.0,1,0.8114427860696517,0.0,1,1,0,0,1,0,0,0,0,0,0
89,0.0,1,0.2117647058823529,0,0,0,0,1,0.0,1,0.7522388059701491,0.5,1,0,0,0,1,0,0,0,0,0,0
90,0.0,1,0.2117647058823529,0,0,0,0,1,0.0,1,0.6582089552238807,0.25,1,1,0,0,1,0,0,0,0,0,0
91,0.0,0,0.1058823529411764,0,0,1,0,1,0.0,1,0.5701492537313433,0.0,1,1,0,0,1,0,0,0,0,0,0
92,0.25,1,0.0941176470588235,0,0,0,0,0,0.0,1,0.7805970149253731,0.0,1,0,0,0,1,0,0,0,0,1,0
93,0.25,1,0.1058823529411764,0,1,0,0,1,0.0,1,0.6960199004975124,0.0,1,0,0,0,1,0,0,0,0,1,0
94,0.0,1,0.2235294117647058,0,0,0,0,1,0.0,0,0.5711442786069653,0.5,1,0,0,0,1,0,0,0,0,1,0
95,0.0,1,0.2352941176470588,0,0,0,0,1,0.0,1,0.5616915422885572,0.0,1,0,0,0,1,0,0,0,0,0,0
96,0.0,0,0.3058823529411765,0,0,0,0,0,0.0,1,0.0751243781094527,0.0,1,0,1,1,0,0,0,0,0,0,0
97,0.0,1,0.1647058823529411,0,0,0,0,1,0.0,1,0.7671641791044775,0.0,1,0,0,0,1,0,0,0,0,1,0
98,0.0,0,0.0705882352941176,0,0,0,0,0,0.0,0,0.2661691542288557,0.5,1,0,0,1,0,0,0,0,0,0,0
99,0.0,0,0.2235294117647058,0,0,0,0,1,0.0,1,0.618905472636816,0.25,1,0,0,0,1,0,0,0,0,1,0
100,0.0,0,0.1294117647058823,0,1,0,0,1,0.0,1,0.5616915422885572,0.25,1,0,0,0,1,0,0,0,0,0,0
101,0.0,1,0.2352941176470588,0,0,1,0,0,0.0,1,0.7019900497512437,0.0,1,0,0,0,1,0,0,0,0,0,0
102,0.0,0,0.0588235294117647,0,1,0,1,1,0.0,1,0.7044776119402985,0.0,1,0,0,0,1,0,0,0,0,1,0
103,0.25,0,0.2705882352941176,0,1,0,0,1,0.0,1,0.7611940298507462,0.25,1,0,0,0,1,0,0,0,0,1,0
104,0.25,1,0.0705882352941176,1,0,1,0,1,0.0,1,0.6676616915422885,0.0,1,0,0,0,1,0,0,0,0,1,0
105,0.25,0,0.0235294117647058,0,0,0,0,1,0.0,1,0.2666666666666666,0.0,1,0,0,1,0,0,0,0,0,0,0
106,0.5,1,0.2,0,0,0,0,1,0.0,1,0.6606965174129353,0.25,1,0,0,0,1,0,0,0,0,0,0
107,0.0,0,0.188235294117647,0,0,0,0,1,0.0,1,0.6054726368159203,0.5,1,0,0,0,1,0,0,0,0,0,0
108,0.0,0,0.1411764705882353,0,0,1,0,1,0.0,1,0.317412935323383,0.25,1,0,1,0,0,0,0,0,0,0,1
109,0.0,0,0.1764705882352941,0,0,0,0,1,0.0,1,0.5109452736318407,0.0,1,0,0,0,1,0,0,0,0,0,1
110,0.5,1,0.2705882352941176,1,1,1,0,1,0.0,1,0.944776119402985,0.0,1,0,0,0,1,0,0,0,0,0,0
111,0.0,0,0.0470588235294117,0,0,0,0,0,0.0,1,0.7189054726368159,0.0,1,0,0,0,1,0,0,0,0,0,0
112,0.5,1,0.2705882352941176,0,0,0,0,1,0.0,1,0.664179104477612,0.0,1,0,0,0,1,0,0,0,0,0,0
113,0.5,1,0.1176470588235294,0,0,0,0,1,0.0,0,0.6671641791044776,0.0,1,0,0,0,1,0,0,0,0,0,0
114,0.75,0,0.0352941176470588,0,0,0,0,1,0.0,1,0.2646766169154229,0.25,1,0,0,0,0,0,0,0,0,0,0
115,0.0,0,0.1647058823529411,0,0,0,0,1,0.0,0,0.2671641791044776,0.25,1,0,0,0,0,0,0,0,0,0,1
116,0.0,0,0.3058823529411765,0,1,1,0,1,0.0,1,0.2492537313432835,0.5,1,0,0,1,0,0,0,0,0,0,1
117,0.5,0,0.3176470588235294,1,1,0,0,1,0.0,1,0.3870646766169153,0.0,1,1,0,1,0,0,0,0,0,0,0
118,0.5,1,0.2588235294117647,1,1,0,1,1,0.0,1,0.818407960199005,0.0,1,0,0,0,0,0,0,0,0,0,0
119,0.0,0,0.1647058823529411,0,0,0,0,1,0.0,0,0.2671641791044776,0.0,1,1,0,1,0,0,0,0,0,0,1
120,0.5,0,0.3411764705882353,0,1,0,0,1,0.0,1,0.3199004975124377,0.5,1,0,0,1,0,0,0,0,0,0,0
121,0.0,0,0.2352941176470588,0,0,0,0,1,0.0,0,0.6039800995024875,0.5,1,0,0,0,1,0,0,0,0,0,1
122,0.0,1,0.0705882352941176,0,0,0,0,1,0.0,1,0.7492537313432835,0.0,1,0,0,0,1,0,0,0,0,0,1
123,1.0,1,0.2235294117647058,1,1,1,0,1,0.5,1,0.9014925373134328,0.0,1,0,0,0,1,0,0,0,0,0,0
124,0.25,1,0.0823529411764705,0,0,0,0,1,0.0,1,0.6616915422885572,0.25,1,0,0,0,1,0,0,0,0,0,0
125,0.0,0,0.3176470588235294,0,0,0,0,0,0.0,1,0.5144278606965175,0.25,1,0,0,0,1,0,0,0,0,0,1
126,0.0,1,0.1294117647058823,0,1,0,0,0,0.0,1,0.6243781094527363,0.0,1,0,0,0,1,0,0,0,0,0,1
127,0.25,0,0.0823529411764705,0,0,1,0,1,0.0,1,0.781592039800995,0.0,1,0,0,0,1,0,0,0,0,0,0
128,0.5,0,0.1176470588235294,1,1,0,1,1,0.0,1,0.8945273631840797,0.0,1,1,0,0,1,0,0,0,0,0,0
129,0.5,1,0.0705882352941176,0,0,0,0,1,0.0,1,0.745771144278607,0.5,1,0,0,0,1,0,0,0,0,0,0
130,0.0,0,0.1529411764705882,0,0,0,0,1,0.0,1,0.5203980099502488,0.5,1,0,0,0,1,0,0,0,0,0,1
131,0.25,1,0.3294117647058823,0,0,1,0,0,0.0,1,0.7985074626865671,0.5,1,0,0,0,1,0,0,0,0,0,0
132,0.0,1,0.0705882352941176,0,0,0,0,1,0.0,1,0.7661691542288557,0.0,1,0,0,0,0,0,0,0,0,0,0
133,0.0,1,0.2,0,0,0,0,1,0.0,1,0.5587064676616916,0.5,1,1,0,0,1,0,0,0,0,0,0
134,0.0,1,0.3294117647058823,0,0,1,0,1,0.0,1,0.699502487562189,0.0,1,0,0,0,1,0,0,0,0,0,0
135,0.0,0,0.0235294117647058,0,0,0,0,1,0.0,1,0.726865671641791,0.5,1,0,0,0,1,0,0,0,0,0,0
136,0.0,0,0.2588235294117647,0,0,0,0,1,0.0,1,0.5159203980099502,0.25,1,1,0,0,1,0,0,0,0,0,0
137,0.75,1,0.2470588235294117,0,1,1,0,1,0.0,1,0.7661691542288557,0.25,1,0,0,0,1,0,0,0,0,0,0
138,0.0,1,0.2705882352941176,0,0,1,0,1,0.0,1,0.8213930348258706,0.0,1,0,0,0,1,0,0,0,0,0,0
139,0.25,0,0.0941176470588235,0,1,0,0,1,0.0,1,0.5791044776119403,0.0,1,0,0,0,1,0,0,0,0,0,0
140,0.0,0,0.2352941176470588,0,0,1,0,1,0.0,1,0.6825870646766168,0.25,1,0,0,0,1,0,0,0,0,0,0
141,1.0,1,0.2941176470588235,0,0,1,0,1,0.0,1,0.808457711442786,0.0,1,1,0,0,1,0,1,0,0,0,0
142,1.0,1,0.0470588235294117,0,1,1,1,1,1.0,1,0.8970149253731344,0.5,1,0,0,0,1,0,1,0,0,0,0
143,0.0,1,0.0352941176470588,0,0,1,1,0,0.0,1,0.6447761194029851,0.5,1,0,0,0,1,0,0,0,0,0,0
144,0.75,1,0.0470588235294117,0,1,1,0,1,0.5,1,0.8606965174129354,0.5,1,0,0,0,1,0,0,0,0,0,0
145,0.25,1,0.1058823529411764,0,0,0,0,1,0.0,1,0.7562189054726368,0.25,1,0,0,0,1,0,0,0,0,0,0
146,0.0,0,0.0941176470588235,0,0,0,0,1,0.0,1,0.5164179104477612,0.25,1,0,0,0,1,0,0,0,0,0,0
147,0.5,1,0.0352941176470588,0,1,1,0,1,0.0,0,0.8766169154228854,0.25,1,0,0,0,1,0,0,0,0,0,0
148,0.5,1,0.2352941176470588,0,0,0,0,1,0.0,1,0.7592039800995024,0.0,1,1,0,0,1,0,0,0,0,0,0
149,0.0,0,0.0705882352941176,0,0,0,0,1,0.0,1,0.0616915422885571,0.5,1,1,0,1,0,0,0,0,0,0,0
150,0.0,1,0.1529411764705882,0,0,0,0,0,0.0,1,0.6621890547263681,0.5,1,0,0,0,1,0,0,0,0,0,0
151,0.5,1,0.0470588235294117,0,1,0,0,1,0.0,1,0.8129353233830846,0.5,1,0,0,0,1,0,0,0,0,0,0
152,0.0,1,0.0823529411764705,0,1,1,0,1,0.0,1,0.861691542288557,0.0,1,0,0,0,1,0,0,0,0,0,0
153,0.0,1,0.1058823529411764,0,0,0,0,1,0.0,1,0.5567164179104478,0.0,1,1,0,0,1,0,0,0,0,0,0
154,1.0,1,0.1764705882352941,0,0,0,0,1,0.0,1,0.7522388059701491,0.25,1,0,0,0,1,0,0,0,0,0,0
155,0.75,1,0.2,1,1,1,0,1,0.0,1,0.8203980099502487,0.0,1,0,0,0,1,0,0,0,0,0,0
156,0.25,1,0.0705882352941176,0,1,0,0,1,0.0,1,0.7109452736318408,0.5,1,0,0,0,1,0,0,0,0,0,0
157,0.25,1,0.1647058823529411,0,0,0,0,1,0.0,1,0.7776119402985074,0.5,1,0,0,0,1,0,0,0,0,0,0
158,0.0,0,0.1764705882352941,0,0,0,0,0,0.0,1,0.5099502487562189,0.25,1,0,0,0,1,0,0,0,0,0,0
159,0.5,1,0.0588235294117647,0,0,0,0,1,0.0,1,0.6666666666666666,0.25,1,1,0,0,1,0,0,0,0,0,0
160,0.75,0,0.2,1,0,1,0,1,0.5,0,0.4422885572139303,0.0,1,1,0,1,0,0,0,0,0,0,0
161,0.25,1,0.2588235294117647,0,1,1,0,1,0.0,0,0.872636815920398,0.25,1,1,0,0,1,0,0,0,1,0,0
162,0.5,1,0.2705882352941176,0,0,0,0,0,0.0,1,0.7701492537313434,0.0,1,0,0,0,1,0,0,0,1,0,0
163,0.5,0,0.2470588235294117,0,0,1,1,1,0.0,1,0.8024875621890547,0.25,1,0,0,0,1,0,0,0,1,0,0
164,0.0,1,0.3294117647058823,0,0,0,0,1,0.0,1,0.5751243781094527,0.0,1,0,0,0,1,0,0,0,0,0,0
165,0.0,0,0.0588235294117647,0,0,0,0,1,0.0,1,0.5124378109452736,0.0,1,0,0,0,1,0,0,0,0,0,0
166,0.5,1,0.2941176470588235,0,1,1,1,0,0.0,1,0.9174129353233832,0.0,1,0,0,0,1,0,0,0,1,0,0
167,0.0,1,0.0235294117647058,0,0,1,0,1,0.0,1,0.8059701492537313,0.25,1,0,0,0,1,0,0,0,0,0,0
168,0.25,1,0.1764705882352941,0,0,1,0,1,0.0,1,0.6129353233830845,0.5,1,0,0,0,1,0,0,0,0,0,0
169,0.0,0,0.0235294117647058,0,0,0,0,1,0.0,1,0.618905472636816,0.0,1,1,0,0,1,0,0,0,0,0,0
170,0.0,1,0.3294117647058823,1,0,0,0,1,0.0,1,0.8213930348258706,0.0,1,0,0,0,1,0,0,0,0,1,0
171,0.0,0,0.2117647058823529,0,0,0,0,1,0.0,1,0.6069651741293532,0.0,1,0,0,0,1,0,0,0,0,1,0
172,0.0,0,0.0705882352941176,0,0,0,0,1,0.0,1,0.708955223880597,0.25,1,0,0,0,1,0,0,0,0,0,0
173,0.0,1,0.2705882352941176,0,0,0,0,1,0.0,1,0.6746268656716418,0.0,1,0,0,0,1,0,0,0,0,0,0
174,0.0,0,0.0470588235294117,0,0,0,0,1,0.0,1,0.163681592039801,0.0,1,0,0,1,0,0,0,0,0,1,0
175,0.75,1,0.0705882352941176,1,0,0,1,0,0.5,1,0.4159203980099502,0.0,1,0,0,0,0,0,0,0,0,0,0
176,0.25,0,0.0941176470588235,0,1,0,0,1,0.0,1,0.5577114427860697,0.0,1,1,0,0,1,0,0,0,0,1,0
177,0.0,1,0.3176470588235294,0,0,0,0,1,0.0,1,0.5601990049751243,0.0,1,0,0,0,1,0,0,0,0,0,0
178,0.5,1,0.2588235294117647,0,0,1,1,1,0.0,1,0.8621890547263681,0.0,1,0,0,0,1,0,0,0,1,0,0
179,0.0,1,0.3411764705882353,0,0,0,0,0,0.0,1,0.5587064676616916,0.5,1,0,0,0,1,0,0,0,0,0,0
180,0.0,0,0.2352941176470588,0,0,0,0,1,0.0,1,0.5119402985074627,0.0,1,0,0,0,1,0,0,0,0,0,0
181,0.0,1,0.3176470588235294,0,1,1,0,1,0.0,1,0.7945273631840796,0.5,1,0,0,0,1,0,0,0,0,1,0
182,0.0,1,0.2352941176470588,1,0,0,0,1,0.0,1,0.8094527363184079,0.0,1,0,0,0,1,0,0,0,0,0,0
183,1.0,1,0.2352941176470588,0,1,1,0,1,0.0,1,0.8427860696517412,0.0,1,0,0,0,1,0,0,0,0,0,0
184,0.0,0,0.0588235294117647,0,0,0,0,1,0.0,1,0.5248756218905473,0.5,1,0,0,0,1,0,0,0,0,0,0
185,0.75,0,0.3058823529411765,0,0,0,0,1,0.0,0,0.5203980099502488,0.5,1,0,0,0,1,0,0,0,0,0,0
186,0.0,0,0.0941176470588235,0,0,0,0,1,0.0,1,0.5074626865671642,0.0,1,0,0,0,1,0,0,0,0,0,0
187,0.0,0,0.0823529411764705,0,1,1,1,0,0.0,1,0.6522388059701492,0.0,1,1,0,0,0,0,0,0,0,1,0
188,0.75,0,0.2941176470588235,0,1,1,0,1,0.0,1,0.3601990049751243,0.25,1,0,0,1,0,0,0,0,0,0,0
189,0.5,1,0.1764705882352941,0,0,1,0,1,0.0,1,0.8114427860696517,0.0,1,0,0,0,1,0,0,0,0,0,0
190,0.0,0,0.2,0,0,0,0,1,0.0,1,0.5174129353233831,0.25,1,1,0,0,1,0,0,0,0,0,0
191,1.0,1,0.0470588235294117,0,1,0,0,0,0.0,1,0.7134328358208956,0.0,1,0,0,0,1,0,0,0,0,0,0
192,0.0,1,0.1294117647058823,0,0,0,0,1,0.0,1,0.564179104477612,0.5,1,0,0,0,1,0,0,0,0,1,0
193,0.5,0,0.1058823529411764,0,1,0,0,1,0.0,1,0.5587064676616916,0.0,1,0,0,0,1,0,0,0,1,0,0
194,0.75,0,0.2823529411764706,0,0,0,0,1,0.0,1,0.5253731343283582,0.5,1,0,0,0,0,0,0,0,0,0,0
195,0.0,0,0.1529411764705882,0,0,1,0,1,0.0,1,0.1208955223880596,0.0,1,0,0,1,0,0,0,0,0,0,0
196,0.25,1,0.3411764705882353,0,1,1,0,1,0.0,1,0.8771144278606965,0.0,1,0,0,0,1,0,0,0,0,0,0
197,0.0,1,0.2941176470588235,0,0,0,0,1,0.0,1,0.6696517412935323,0.5,1,0,0,0,1,0,0,0,0,0,1
198,0.5,0,0.0470588235294117,0,1,1,0,1,0.0,1,0.6109452736318408,0.5,1,1,0,0,1,0,0,0,1,0,0
199,0.0,0,0.0,0,0,0,0,0,0.0,1,0.0119402985074626,0.0,1,0,0,0,0,1,0,0,0,0,0
200,0.5,1,0.1058823529411764,0,0,0,0,1,0.0,1,0.6736318407960199,0.5,1,1,0,0,1,0,0,0,1,0,0
201,0.25,0,0.188235294117647,0,0,0,1,1,0.0,0,0.4094527363184079,0.0,1,0,0,1,0,0,0,0,0,0,0
202,0.5,1,0.0235294117647058,0,0,0,1,1,0.0,1,0.8089552238805969,0.0,1,0,0,0,1,0,0,0,1,0,0
